 ,Area,Mean,Min,Max,X,Y,Slice
1,0,265,265,265,257,420,39
2,0,333,333,333,264,411,39
3,0,532,532,532,276,394,39
4,0,630,630,630,286,373,39
5,0,448,448,448,312,303,39
6,0,459,459,459,319,292,39
7,0,523,523,523,319,291,39
8,0,522,522,522,324,283,39
9,0,568,568,568,388,131,43
10,0,306,306,306,401,109,43
11,0,202,202,202,417,81,43
12,0,269,269,269,420,72,43
13,0,234,234,234,299,325,11
14,0,296,296,296,306,313,11
15,0,277,277,277,251,388,11
16,0,282,282,282,256,381,11
17,0,263,263,263,234,415,11
18,0,271,271,271,238,410,11
19,0,832,832,832,359,438,29
20,0,915,915,915,368,432,29
21,0,228,228,228,278,214,42
22,0,296,296,296,282,204,42
